datetime,temp,precip,humidity,windspeed,cloudcover,month,day_of_week,is_weekend,season,temp_range,day_length,is_clear,is_rainy,is_cloudy,is_snowy,has_precipitation,month_sin,month_cos,day_of_week_sin,day_of_week_cos,temp_rolling_7d,temp_max_7d,temp_min_7d,precip_sum_7d,humidity_rolling_7d,hot,cold,heavy_precipitation,day_of_year_sin,day_of_year_cos
2023-01-01,16.7,0.0,65.2,18.4,1.3,1,6,1,Winter,14.0,10.771944444444445,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,16.7,16.7,16.7,0.0,65.2,0,1,0,0.017213356155834685,0.9998518392091162
2023-01-02,15.4,0.0,64.1,16.6,2.6,1,0,0,Winter,14.0,10.7775,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,16.05,16.7,15.4,0.0,64.65,0,1,0,0.03442161162274574,0.9994074007397048
2023-01-03,14.7,0.0,64.5,14.8,1.3,1,1,0,Winter,11.7,10.783333333333333,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,15.6,16.7,14.7,0.0,64.60000000000001,0,1,0,0.051619667223253764,0.998666816288476
2023-01-04,13.0,0.0,65.6,22.3,1.1,1,2,0,Winter,12.0,10.79,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,14.95,16.7,13.0,0.0,64.85,0,1,0,0.06880242680231986,0.9976303053065857
2023-01-05,13.5,0.0,71.2,22.3,12.8,1,3,0,Winter,11.0,10.797222222222222,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,14.66,16.7,13.0,0.0,66.12,0,1,0,0.08596479873744647,0.9962981749346078
2023-01-06,16.1,0.0,67.3,18.4,17.1,1,4,0,Winter,14.0,10.804444444444444,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,14.9,16.7,13.0,0.0,66.31666666666666,0,1,0,0.10310169744743485,0.9946708199115211
2023-01-07,17.8,0.0,58.4,11.2,8.0,1,5,1,Winter,15.0,10.8125,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,15.314285714285715,17.8,13.0,0.0,65.18571428571428,0,1,0,0.1202080448993527,0.9927487224577402
2023-01-08,17.4,0.0,54.5,18.4,1.3,1,6,1,Winter,14.0,10.821111111111112,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,15.414285714285713,17.8,13.0,0.0,63.65714285714286,0,1,0,0.13727877211326478,0.9905324521322229
2023-01-09,16.7,0.0,53.7,9.7,1.3,1,0,0,Winter,15.8,10.829722222222221,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,15.6,17.8,13.0,0.0,62.17142857142857,0,1,0,0.15430882066428117,0.9880226656636976
2023-01-10,16.6,0.0,56.1,11.2,1.3,1,1,0,Winter,17.2,10.839166666666667,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,15.87142857142857,17.8,13.0,0.0,60.97142857142857,0,1,0,0.1712931441814776,0.9852201067560606
2023-01-11,18.1,0.0,56.4,14.8,1.3,1,2,0,Winter,15.899999999999999,10.848888888888888,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,16.6,18.1,13.5,0.0,59.65714285714286,0,1,0,0.1882267098432442,0.9821256058680006
2023-01-12,18.2,0.0,65.9,14.8,5.9,1,3,0,Winter,14.100000000000001,10.859166666666667,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,17.271428571428572,18.2,16.1,0.0,58.89999999999999,0,1,0,0.2051044998686192,0.9787400799669153
2023-01-13,17.2,0.0,65.1,22.3,12.7,1,4,0,Winter,10.5,10.869722222222222,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,17.428571428571427,18.2,16.6,0.0,58.58571428571429,0,1,0,0.22192151300416552,0.9750645322571948
2023-01-14,14.7,0.0,59.7,20.5,1.3,1,5,1,Winter,13.0,10.880555555555556,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,16.985714285714284,18.2,14.7,0.0,58.771428571428565,0,1,0,0.2386727660059501,0.9711000518829505
2023-01-15,14.2,0.0,61.7,14.8,2.5,1,6,1,Winter,13.0,10.892222222222221,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,16.52857142857143,18.2,14.2,0.0,59.800000000000004,0,1,0,0.255353295116187,0.9668478136052775
2023-01-16,14.6,0.0,61.1,18.4,0.0,1,0,0,Winter,15.0,10.903888888888888,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,16.228571428571428,18.2,14.2,0.0,60.857142857142854,0,1,0,0.2719581575341055,0.9623090774541486
2023-01-17,15.1,0.0,59.0,18.4,8.5,1,1,0,Winter,14.0,10.91611111111111,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,16.014285714285716,18.2,14.2,0.0,61.271428571428565,0,1,0,0.288482432880609,0.9574851883550393
2023-01-18,15.6,0.0,52.1,20.5,1.0,1,2,0,Winter,16.0,10.928611111111111,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,15.657142857142857,18.2,14.2,0.0,60.65714285714286,0,1,0,0.30492122465628907,0.9523775757303974
2023-01-19,16.6,0.0,56.6,18.4,13.6,1,3,0,Winter,16.0,10.941666666666666,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,15.428571428571429,17.2,14.2,0.0,59.32857142857143,0,1,0,0.3212696616923644,0.9469877530760753
2023-01-20,19.9,0.0,59.2,20.5,15.9,1,4,0,Winter,17.0,10.955,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,15.814285714285715,19.9,14.2,0.0,58.48571428571429,0,0,0,0.3375228995941133,0.9413173175128471
2023-01-21,19.4,0.0,59.8,18.4,7.9,1,5,1,Winter,17.1,10.96888888888889,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,16.485714285714288,19.9,14.2,0.0,58.5,0,0,0,0.3536761221763716,0.9353679493131483
2023-01-22,18.2,0.0,59.8,9.4,14.5,1,6,1,Winter,13.0,10.983055555555556,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,17.057142857142857,19.9,14.6,0.0,58.22857142857142,0,1,0,0.3697245428906731,0.9291414114031743
2023-01-23,19.1,0.0,64.8,20.5,15.9,1,0,0,Winter,13.100000000000001,10.997222222222222,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,17.7,19.9,15.1,0.0,58.75714285714286,0,0,0,0.38566340624360707,0.9226395488404876
2023-01-24,18.9,0.0,68.9,13.0,21.7,1,1,0,Winter,12.0,11.012222222222222,0,0,1,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,18.24285714285714,19.9,15.6,0.0,60.17142857142858,0,0,0,0.401487989205973,0.9158642882672872
2023-01-25,17.9,0.0,65.1,14.8,40.8,1,2,0,Winter,7.0,11.027222222222223,0,0,1,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,18.571428571428573,19.9,16.6,0.0,62.028571428571425,0,1,0,0.4171936026123168,0.9088176373395029
2023-01-26,16.5,0.2,83.2,18.4,65.3,1,3,0,Winter,7.299999999999999,11.0425,0,1,1,0,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,18.557142857142857,19.9,16.5,0.2,65.82857142857144,0,1,0,0.4327755925504312,0.901501684131884
2023-01-27,17.8,0.0,82.1,18.4,58.7,1,4,0,Winter,6.5,11.058055555555555,0,0,1,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,18.257142857142856,19.4,16.5,0.2,69.1,0,1,0,0.4482293417404106,0.893918596519257
2023-01-28,19.8,0.0,69.7,14.8,4.2,1,5,1,Winter,16.1,11.074166666666667,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,18.314285714285717,19.8,16.5,0.2,70.51428571428572,0,0,0,0.4635502709028509,0.886070621534138
2023-01-29,21.9,0.0,61.3,25.9,7.7,1,6,1,Winter,13.100000000000001,11.090555555555556,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,18.842857142857145,21.9,16.5,0.2,70.72857142857143,0,0,0,0.47873384011578846,0.8779600847008882
