Datetime,Temperature,Feels Like,Dew,Humidity,Precipitation,Snow Value,Snow Depth,Wind Gust,Wind Speed,Wind Direction,Cloud Cover,Visibility,Solar Radiation,Solar Energy,UV Index,Hour,Clear,Cloudy,Fog,Partly Cloudy,Rain,Snow,Wind
2024-01-12 03:00:00,0.1695464362850972,0.20669291338582677,0.23067484662576687,0.5408027161392022,0.0,0.0,0.0,0.25059952038369304,0.24143835616438356,0.7416666666666667,0.106,0.6610878661087866,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 04:00:00,0.17494600431965443,0.2125984251968504,0.2282208588957055,0.504304595610525,0.0,0.0,0.0,0.23741007194244604,0.2465753424657534,0.8083333333333333,0.0,0.6610878661087866,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 05:00:00,0.16522678185745143,0.2076771653543307,0.2343558282208589,0.5782708863829271,0.0,0.0,0.0,0.2026378896882494,0.18321917808219176,0.7916666666666667,0.0,0.6610878661087866,0.0,0.0,0.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 06:00:00,0.16198704103671707,0.19586614173228348,0.22576687116564417,0.5548684370073966,0.0,0.0,0.0,0.16906474820143885,0.2705479452054794,0.7833333333333333,0.0,0.6610878661087866,0.0,0.0,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 07:00:00,0.1695464362850972,0.20669291338582677,0.22085889570552147,0.4988480659633806,0.0,0.0,0.0,0.16906474820143885,0.23972602739726026,0.8194444444444445,0.106,0.6610878661087866,0.0,0.0,0.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 08:00:00,0.1673866090712743,0.20275590551181102,0.22576687116564417,0.5313447314174852,0.0,0.0,0.0,0.16426858513189446,0.2568493150684931,0.7666666666666667,0.454,0.6610878661087866,0.045409674234945706,0.05555555555555556,0.0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 09:00:00,0.18034557235421167,0.2293307086614173,0.2294478527607362,0.486237419667758,0.0,0.0,0.0,0.15587529976019185,0.14554794520547945,0.9305555555555556,0.418,0.6610878661087866,0.18756169792694966,0.19444444444444445,0.2,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 10:00:00,0.19114470842332615,0.2312992125984252,0.2233128834355828,0.4172426336849764,0.0,0.0,0.0,0.5911270983213428,0.23116438356164382,0.9583333333333334,0.743,0.6610878661087866,0.3889437314906219,0.3888888888888889,0.4,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 11:00:00,0.19978401727861772,0.2529527559055118,0.22699386503067484,0.3933551594519219,0.0,0.0,0.0,0.16426858513189446,0.13013698630136986,0.14444444444444446,0.743,0.6610878661087866,0.43632773938795655,0.4444444444444445,0.4,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 12:00:00,0.20518358531317496,0.2549212598425197,0.22085889570552147,0.35273432763429124,0.0,0.0,0.0,0.16426858513189446,0.15924657534246575,0.2,0.743,0.6610878661087866,0.4442250740375123,0.4444444444444445,0.5,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 13:00:00,0.20410367170626353,0.2470472440944882,0.2294478527607362,0.38595853037468175,0.0,0.0,0.0,0.19904076738609114,0.22602739726027396,0.2388888888888889,0.743,0.6610878661087866,0.43928923988153995,0.4444444444444445,0.4,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 14:00:00,0.2105831533477322,0.2470472440944882,0.2196319018404908,0.33018067175942767,0.0,0.0,0.0,0.2637889688249401,0.3150684931506849,0.3194444444444445,0.59,0.6610878661087866,0.2240868706811451,0.22222222222222224,0.2,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 15:00:00,0.20086393088552917,0.23326771653543307,0.22699386503067484,0.3876561173760156,0.0,0.0,0.0,0.302158273381295,0.3681506849315068,0.34444444444444444,0.743,0.6610878661087866,0.09378084896347483,0.08333333333333333,0.1,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 16:00:00,0.1943844492440605,0.2293307086614173,0.2392638036809816,0.4642900448647993,0.0,0.0,0.0,0.2805755395683453,0.3184931506849315,0.34444444444444444,0.743,0.6610878661087866,0.02764067127344521,0.02777777777777778,0.0,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 17:00:00,0.1879049676025918,0.2234251968503937,0.2552147239263804,0.5598399417970171,0.0,0.0,0.0,0.3429256594724221,0.2910958904109589,0.33611111111111114,0.743,0.6610878661087866,0.0,0.0,0.0,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 18:00:00,0.1857451403887689,0.21948818897637795,0.26993865030674846,0.6431429610767551,0.0,0.0,0.0,0.3501199040767386,0.3047945205479452,0.3388888888888889,0.743,0.6610878661087866,0.0,0.0,0.0,18,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 19:00:00,0.1900647948164147,0.22539370078740156,0.27361963190184047,0.63635261307142,0.0,0.0,0.0,0.41486810551558756,0.3047945205479452,0.3416666666666667,0.8370000000000001,0.6610878661087866,0.0,0.0,0.0,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 20:00:00,0.1965442764578834,0.2283464566929134,0.2846625766871166,0.6590275251606644,0.0,0.0,0.0,0.302158273381295,0.37499999999999994,0.2777777777777778,0.8740000000000001,0.6610878661087866,0.0,0.0,0.0,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12 21:00:00,0.20302375809935208,0.2293307086614173,0.29325153374233126,0.6676367163817146,0.0,0.0,0.0,0.5167865707434053,0.49486301369863006,0.2638888888888889,0.9840000000000001,0.6610878661087866,0.0,0.0,0.0,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 22:00:00,0.20302375809935208,0.22736220472440943,0.2920245398773006,0.6625439553777132,0.0,0.0,0.0,0.5047961630695443,0.5291095890410958,0.25277777777777777,1.0,0.6610878661087866,0.0,0.0,0.0,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 23:00:00,0.20302375809935208,0.22736220472440943,0.3042944785276074,0.7223232690675396,0.008769544527532291,0.0,0.0,0.5743405275779376,0.5291095890410958,0.3055555555555556,0.956,0.5774058577405857,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-01-13 00:00:00,0.20518358531317496,0.2263779527559055,0.32515337423312884,0.83048381229538,0.0983004758667573,0.0,0.0,0.6798561151079137,0.6267123287671232,0.2916666666666667,1.0,0.4435146443514644,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-01-13 01:00:00,0.21166306695464365,0.23326771653543307,0.3361963190184049,0.8475809385230993,0.1928619986403807,0.0,0.0,0.7326139088729017,0.660958904109589,0.2888888888888889,1.0,0.28033472803347276,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-01-13 02:00:00,0.21706263498920086,0.2421259842519685,0.3496932515337423,0.8902631259852068,0.4657375934738273,0.0,0.0,0.6834532374100719,0.6061643835616438,0.2888888888888889,1.0,0.19665271966527198,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-01-13 03:00:00,0.2267818574514039,0.28937007874015747,0.3619631901840491,0.9016612101370195,0.6528891910265125,0.0,0.0,0.5719424460431655,0.49999999999999994,0.26944444444444443,1.0,0.1297071129707113,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
