name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,description,icon,stations,year,month,day,day_of_week,day_of_year,is_weekend,quarter,day_length,is_clear,is_rainy,is_cloudy,is_snowy,is_stormy,has_precipitation,heavy_precipitation,freezing,hot,cold,temp_range,month_sin,month_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,temp_rolling_3d,precip_rolling_3d,humidity_rolling_3d,precip_sum_3d,temp_max_3d,temp_min_3d,temp_rolling_7d,precip_rolling_7d,humidity_rolling_7d,precip_sum_7d,temp_max_7d,temp_min_7d,temp_rolling_14d,precip_rolling_14d,humidity_rolling_14d,precip_sum_14d,temp_max_14d,temp_min_14d,conditions_Clear,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",preciptype_rain,season_Fall,season_Spring,season_Summer,season_Winter,temp_scaled,temp_minmax,tempmax_scaled,tempmax_minmax,tempmin_scaled,tempmin_minmax,feelslike_scaled,feelslike_minmax,humidity_scaled,humidity_minmax,precip_scaled,precip_minmax,precipprob_scaled,precipprob_minmax,windspeed_scaled,windspeed_minmax,cloudcover_scaled,cloudcover_minmax,visibility_scaled,visibility_minmax,solarenergy_scaled,solarenergy_minmax,uvindex_scaled,uvindex_minmax,temp_range_scaled,temp_range_minmax,day_length_scaled,day_length_minmax
NewYork,2024-08-20,31.0,23.0,26.0,37.7,23.0,27.7,23.2,85.0,56.0,100,12.5,0,0.0,19.1,18.4,0.5,1007.8,62.4,5.1,193.0,16.5,7,30,2024-08-20 06:05:20,2024-08-20 18:54:20,0.52,Partly cloudy throughout the day with rain.,rain,"42752099999,42662099999,42754099999,remote,VAID",2024,8,20,1,233,0,3,12.816666666666666,0,1,1,0,0,1,1,0,0,0,8.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.7638886127905429,-0.64534811322955,26.733333333333334,18.666666666666668,81.63333333333331,56.0,27.3,26.0,26.24285714285714,10.757142857142858,83.85714285714286,75.30000000000001,27.3,25.5,25.264285714285716,7.1000000000000005,86.77857142857142,99.4,27.3,23.1,False,False,False,False,True,True,False,False,True,False,0.3533170929311391,0.5601659751037344,0.11774887218210221,0.49382716049382724,0.8174169075031561,0.68,0.6359191895205324,0.6015325670498083,1.2393958609826508,0.87434554973822,4.439250512373384,0.26046511627906976,1.6396255953794012,1.0,0.013583111220241337,0.14919354838709675,0.9331861554628249,0.6341463414634146,-0.2325539251390195,0.02832244008714596,-0.27253365173172245,0.5490909090909091,-0.2577550906606128,0.6666666666666665,-0.859975224240062,0.36585365853658536,0.7746901844404708,0.745876237128861
NewYork,2024-08-21,30.3,23.0,25.8,35.1,23.0,27.2,23.1,85.9,11.0,100,4.17,0,0.0,20.5,27.7,250.9,1008.6,72.0,4.1,158.3,13.6,6,30,2024-08-21 06:05:41,2024-08-21 18:53:30,0.55,Partly cloudy throughout the day with afternoon rain.,rain,"42752099999,42662099999,42754099999,VAID",2024,8,21,2,234,0,3,12.796944444444444,0,1,1,0,0,1,1,0,0,0,7.300000000000001,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.7748840413670406,-0.6321034111873488,26.36666666666667,22.333333333333332,83.33333333333331,67.0,27.3,25.8,26.185714285714287,12.285714285714288,84.0,86.00000000000001,27.3,25.5,25.349999999999998,7.885714285714286,86.76428571428572,110.4,27.3,23.1,False,False,False,False,True,True,False,False,True,False,0.30815583330921886,0.5518672199170125,-0.03086958836424831,0.46502057613168735,0.8174169075031561,0.68,0.5302834449795414,0.582375478927203,1.286652877009113,0.886125654450262,0.6835598982646685,0.05116279069767442,1.6396255953794012,1.0,1.4508010012942476,0.27419354838709675,1.2645059747104415,0.7317073170731707,-0.42433352438531974,0.021060275962236738,-0.7888836590537214,0.4436363636363636,-0.7832044142952298,0.5555555555555556,-1.027397890033089,0.33170731707317075,0.7541652464827011,0.7387783664900529
NewYork,2024-08-22,32.0,23.7,27.0,37.9,23.7,29.3,23.6,82.2,0.0,0,0.0,0,0.0,16.6,11.2,280.2,1007.5,78.6,6.7,173.9,14.9,8,60,2024-08-22 06:06:01,2024-08-22 18:52:39,0.59,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,remote,VAID",2024,8,22,3,235,0,3,12.777222222222223,0,0,1,0,0,0,0,0,0,0,8.3,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.7856498550787144,-0.6186714032625032,26.26666666666667,22.333333333333332,84.36666666666666,67.0,27.0,25.8,26.38571428571429,11.000000000000002,83.32857142857142,77.00000000000001,27.3,25.5,25.514285714285712,7.385714285714286,86.35000000000001,103.4,27.3,23.1,False,True,False,False,False,True,False,False,True,False,0.5791233910407413,0.6016597510373445,0.3300609586768889,0.5349794238683129,0.9552881740568923,0.708,0.9739535720517036,0.6628352490421455,1.0923740333447687,0.8376963350785342,-0.23449780740635082,0.0,-0.6098953339214036,0.0,-1.0991017069015698,0.05241935483870967,1.4922883504431776,0.798780487804878,0.074293433655061,0.03994190268700072,-0.5574164143921355,0.49090909090909085,0.26769423297400424,0.7777777777777777,-0.7882226531859073,0.3804878048780488,0.7336403085249332,0.7316804958512448
NewYork,2024-08-23,27.0,23.0,24.2,31.2,23.0,24.4,22.8,92.1,80.0,100,12.5,0,0.0,33.5,16.6,253.3,1007.6,93.6,3.1,83.4,7.2,4,30,2024-08-23 06:06:21,2024-08-23 18:51:48,0.62,Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42752099999,42662099999,42754099999,VAID",2024,8,23,4,236,0,3,12.7575,0,1,0,0,0,1,1,0,0,0,4.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.7961828637826154,-0.6050560696488494,25.66666666666667,30.333333333333332,86.7333333333333,91.0,27.0,24.2,26.2,21.0,83.95714285714287,147.0,27.3,24.2,25.592857142857145,12.87857142857143,86.39285714285714,180.3,27.3,23.6,False,False,False,True,False,True,False,False,True,False,-0.05313424366614493,0.48547717842323657,-0.7314994737970445,0.32921810699588494,0.8174169075031561,0.68,-0.06127672445000785,0.4750957854406129,1.6122012096358513,0.9672774869109948,6.442285506564699,0.37209302325581395,1.6396255953794012,1.0,-0.264588093310211,0.125,2.0099755680175786,0.9512195121951219,-0.61611312363162,0.013798111837327523,-1.928414709695374,0.21090909090909093,-1.834103061564464,0.3333333333333333,-1.8166761716287885,0.17073170731707318,0.7131153705671635,0.7245826252124359
NewYork,2024-08-24,27.0,23.0,24.6,30.1,23.0,24.9,23.1,91.4,97.0,100,12.5,0,0.0,33.5,14.8,288.7,1005.4,92.4,4.6,58.2,5.1,3,30,2024-08-24 06:06:41,2024-08-24 18:50:55,0.66,Cloudy skies throughout the day with rain.,rain,"42752099999,42662099999,42754099999,remote,VAID",2024,8,24,5,237,1,3,12.737222222222222,0,1,0,0,0,1,1,0,0,0,4.0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-0.8064799463209447,-0.5912614448635782,25.26666666666667,59.0,88.56666666666665,177.0,27.0,24.2,25.971428571428568,34.857142857142854,85.21428571428571,244.0,27.3,24.2,25.664285714285715,19.307142857142857,86.30714285714285,270.3,27.3,24.2,False,False,False,True,False,True,False,False,True,False,0.03718827557769642,0.5020746887966805,-0.7314994737970445,0.32921810699588494,0.8174169075031561,0.68,0.04435902009098307,0.49425287356321823,1.5754457527263814,0.9581151832460735,7.861101960783547,0.4511627906976744,1.6396255953794012,1.0,-0.5427592978406639,0.10080645161290323,1.9685605906116268,0.9390243902439025,-0.32844372476216965,0.02469135802469135,-2.3023233356871664,0.13454545454545452,-2.359552385199081,0.2222222222222222,-1.8166761716287885,0.17073170731707318,0.6920122653429777,0.7172848145556334
NewYork,2024-08-25,25.1,23.0,23.6,25.1,23.0,23.6,22.4,93.1,24.0,100,20.83,0,0.0,47.9,24.1,253.1,1002.0,95.4,3.5,15.6,1.4,1,10,2024-08-25 06:07:00,2024-08-25 18:50:03,0.69,Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42752099999,42662099999,42754099999,VAID",2024,8,25,6,238,1,3,12.7175,0,1,0,0,0,1,1,0,0,0,2.1000000000000014,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.8165380514459157,-0.5772916165517278,24.133333333333336,67.0,92.19999999999997,201.0,24.6,23.6,25.5,38.285714285714285,86.97142857142856,268.0,27.3,23.6,25.614285714285717,20.99285714285714,86.45714285714284,293.9,27.3,23.6,False,False,False,True,False,True,False,False,True,False,-0.18861802253190574,0.4605809128630707,-1.1348924381371388,0.25102880658436233,0.8174169075031561,0.68,-0.2302939157155927,0.4444444444444444,1.6647090052208093,0.9803664921465969,1.7685371867849642,0.11162790697674418,1.6396255953794012,1.0,0.8944585922333423,0.22580645161290325,2.072098034126507,0.9695121951219513,-0.5394012839330998,0.016702977487291208,-2.961114724339372,0.0,-3.410451032468315,0.0,-2.271109121638433,0.07804878048780495,0.6714873273852079,0.7101869439168245
NewYork,2024-08-26,24.2,22.0,23.1,24.2,22.0,23.1,21.8,92.5,12.0,100,12.5,0,0.0,45.7,21.8,197.1,1001.9,91.3,3.9,35.1,3.1,2,10,2024-08-26 06:07:20,2024-08-26 18:49:09,0.75,Cloudy skies throughout the day with rain.,rain,"42752099999,42662099999,42754099999,remote,VAID",2024,8,26,0,239,0,3,12.696944444444444,0,1,0,0,0,1,1,0,0,0,2.1999999999999993,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.8263541987239095,-0.5631507242749187,23.76666666666667,44.333333333333336,92.33333333333331,133.0,24.6,23.1,24.900000000000002,40.0,88.88571428571429,280.0,27.0,23.1,25.514285714285712,21.664285714285715,86.62857142857142,303.3,27.3,23.1,False,False,False,True,False,True,False,False,True,False,-0.3015211715867068,0.43983402489626566,-1.3259733159824474,0.21399176954732513,0.6204579552835326,0.64,-0.33592966025658366,0.4252873563218391,1.633204327869835,0.9725130890052358,0.7670196896893066,0.05581395348837209,1.6396255953794012,1.0,0.5390176086666525,0.19489247311827956,1.930596861322837,0.9278455284552845,-0.46268944423457975,0.0196078431372549,-2.6584267890126827,0.06181818181818183,-2.885001708833698,0.1111111111111111,-2.2471915979537154,0.08292682926829265,0.6500951385278149,0.7027891632510248
NewYork,2024-08-27,29.0,22.0,24.4,32.7,22.0,25.2,21.5,84.6,6.0,100,4.17,0,0.0,42.8,25.9,193.9,1005.6,67.5,5.2,184.0,15.9,7,10,2024-08-27 06:07:39,2024-08-27 18:48:15,0.76,Partly cloudy throughout the day with afternoon rain.,rain,"42752099999,42662099999,42754099999,VAID",2024,8,27,1,240,0,3,12.676666666666666,0,1,1,0,0,1,0,0,0,0,7.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.8359254794186365,-0.5488429582847199,23.700000000000003,14.0,90.06666666666665,42.0,24.4,23.1,24.671428571428574,32.857142857142854,88.82857142857142,230.0,27.0,23.1,25.45714285714286,21.807142857142857,86.34285714285716,305.3,27.3,23.1,False,False,False,False,True,True,False,False,True,False,-0.007972984044224656,0.49377593360995853,-0.3068753008074711,0.411522633744856,0.6204579552835326,0.64,0.10774046681557777,0.5057471264367815,1.2183927427486672,0.869109947643979,0.2662609411414779,0.027906976744186046,1.6396255953794012,1.0,1.1726297967637946,0.25,1.1091998094381212,0.6859756097560975,-0.21337596521438937,0.029048656499636887,-0.3793646877293773,0.5272727272727272,-0.2577550906606128,0.6666666666666665,-1.0991504610872436,0.3170731707317073,0.6289920333036291,0.6954913525942215
NewYork,2024-08-28,28.1,22.0,24.2,31.2,22.0,24.6,21.5,85.5,0.2,100,4.17,0,0.0,41.8,19.5,178.2,1006.6,71.5,7.0,127.9,11.1,6,30,2024-08-28 06:07:58,2024-08-28 18:47:21,0.8,Partly cloudy throughout the day with afternoon rain.,rain,"42752099999,42662099999,42754099999,remote,VAID",2024,8,28,2,241,0,3,12.65638888888889,0,1,1,0,0,1,0,0,0,0,6.100000000000001,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.8452490573530634,-0.5343725582809785,23.900000000000002,6.066666666666666,87.5333333333333,18.2,24.4,23.1,24.442857142857143,31.314285714285717,88.77142857142857,219.20000000000002,27.0,23.1,25.314285714285713,21.8,86.38571428571429,305.2,27.3,23.1,False,False,False,False,True,True,False,False,True,False,-0.05313424366614493,0.48547717842323657,-0.4979561786527788,0.374485596707819,0.6204579552835326,0.64,-0.01902242663361088,0.48275862068965514,1.2656497587751296,0.880890052356021,-0.21780584912142317,0.0009302325581395349,1.6396255953794012,1.0,0.1835766250999627,0.16397849462365593,1.247249734124628,0.7266260162601625,0.13182731342895104,0.04212055192447348,-1.2340129757106169,0.3527272727272727,-0.7832044142952298,0.5555555555555556,-1.3144081742497067,0.27317073170731715,0.6078889280794451,0.688193541937419
NewYork,2024-08-29,30.3,22.0,25.5,34.1,22.0,26.5,21.8,81.3,0.0,0,0.0,0,0.0,33.8,22.3,219.2,1006.6,60.9,5.3,182.6,15.8,7,30,2024-08-29 06:08:17,2024-08-29 18:46:26,0.83,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,VAID",2024,8,29,3,242,0,3,12.635833333333334,0,0,1,0,0,0,0,0,0,0,8.3,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.8543221697498269,-0.5197438121555157,24.700000000000003,2.066666666666667,83.79999999999997,6.2,25.5,24.2,24.228571428571428,31.314285714285717,88.64285714285714,219.20000000000002,25.5,23.1,25.307142857142857,21.157142857142855,85.98571428571428,296.2,27.3,23.1,False,True,False,False,False,True,False,False,True,False,0.24041394387633805,0.5394190871369295,-0.03086958836424831,0.46502057613168735,0.6204579552835326,0.64,0.3823934026221543,0.5555555555555555,1.0451170173183062,0.8259162303664922,-0.23449780740635082,0.0,-0.6098953339214036,0.0,0.6162873877028894,0.20161290322580644,0.8814174337053848,0.6189024390243902,-0.19419800528975942,0.029774872912127805,-0.39716986039565305,0.5236363636363637,-0.2577550906606128,0.6666666666666665,-0.7882226531859073,0.3804878048780488,0.586496739222052,0.6807957612716184
NewYork,2024-08-30,29.0,21.8,25.3,33.6,21.8,26.5,22.2,83.2,11.0,100,4.17,0,0.0,18.0,9.4,318.2,1008.4,64.0,5.3,129.0,11.0,4,30,2024-08-30 06:08:36,2024-08-30 18:45:31,0.87,Partly cloudy throughout the day with afternoon rain.,rain,"42752099999,42662099999,42754099999,VAID",2024,8,30,4,243,0,3,12.615277777777777,0,1,1,0,0,1,1,0,0,0,7.199999999999999,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.8631421280499115,-0.5049610547215202,25.0,3.733333333333333,83.33333333333331,11.2,25.5,24.2,24.38571428571429,21.45714285714286,87.37142857142858,150.20000000000002,25.5,23.1,25.292857142857144,21.228571428571428,85.66428571428573,297.2,27.3,23.1,False,False,False,False,True,True,False,False,True,False,0.19525268425441777,0.5311203319502076,-0.3068753008074711,0.411522633744856,0.581066164839608,0.632,0.3823934026221543,0.5555555555555555,1.1448818289297267,0.8507853403141363,0.6835598982646685,0.05116279069767442,1.6396255953794012,1.0,-1.3772729114320224,0.02822580645161292,0.9884061253374277,0.6504065040650406,-0.19419800528975942,0.029774872912127805,-1.2518181483768926,0.34909090909090906,-1.834103061564464,0.3333333333333333,-1.0513154137178076,0.3268292682926829,0.5651045503646572,0.6733979806058179
NewYork,2024-08-31,29.9,22.0,25.2,35.3,22.0,26.3,22.6,86.2,7.0,100,8.33,0,0.0,31.7,14.8,302.8,1008.8,58.5,5.2,203.6,17.6,7,30,2024-08-31 06:08:54,2024-08-31 18:44:35,0.9,Partly cloudy throughout the day with morning rain.,rain,"42752099999,42662099999,42754099999,VAID",2024,8,31,5,244,1,3,12.594722222222222,0,1,1,0,0,1,1,0,0,0,7.899999999999999,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-0.8717063187093218,-0.4900286664290594,25.333333333333332,6.0,83.56666666666665,18.0,25.5,25.2,24.47142857142857,8.600000000000003,86.62857142857142,60.20000000000002,25.5,23.1,25.22142857142857,21.728571428571428,85.92142857142856,304.2,27.3,23.1,False,False,False,False,True,True,False,False,True,False,0.17267205444345723,0.5269709543568464,-0.11579442296216343,0.44855967078189296,0.6204579552835326,0.64,0.3401391048057581,0.5478927203065133,1.3024052156846002,0.8900523560209426,0.349720732566116,0.03255813953488372,1.6396255953794012,1.0,-0.5427592978406639,0.10080645161290323,0.7985874788934807,0.5945121951219512,-0.21337596521438937,0.029048656499636887,-0.07667675240268813,0.5890909090909091,-0.2577550906606128,0.6666666666666665,-0.8838927479247806,0.3609756097560975,0.5437123615072642,0.6660001999400174
NewYork,2024-09-01,29.0,23.0,24.9,34.5,23.0,26.0,22.8,88.9,23.0,100,12.5,0,0.0,33.8,16.6,313.9,1007.4,79.4,5.1,130.1,11.4,6,60,2024-09-01 06:09:13,2024-09-01 18:43:38,0.94,Partly cloudy throughout the day with rain.,rain,"42752099999,42662099999,42754099999,remote,VAID",2024,9,1,6,245,1,3,12.573611111111111,0,1,1,0,0,1,1,0,0,0,6.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.8800122039735356,-0.4749510720670502,25.133333333333336,13.666666666666666,86.09999999999998,41.0,25.3,24.9,24.657142857142855,8.457142857142859,86.02857142857142,59.20000000000002,25.5,23.1,25.078571428571426,23.37142857142857,86.5,327.2,27.3,23.1,False,False,False,False,True,True,True,False,False,False,0.10493016501057643,0.5145228215767634,-0.3068753008074711,0.411522633744856,0.8174169075031561,0.68,0.27675765808116337,0.5363984674329502,1.4441762637639868,0.9253926701570683,1.6850773953603262,0.10697674418604651,1.6396255953794012,1.0,-0.264588093310211,0.125,1.5198983353804794,0.8069105691056911,-0.2325539251390195,0.02832244008714596,-1.1805974577117893,0.36363636363636365,-0.7832044142952298,0.5555555555555556,-1.3383256979344254,0.2682926829268293,0.5217420053834552,0.6584024792562233
NewYork,2024-09-02,29.0,23.0,24.8,34.5,23.0,25.5,23.3,91.4,9.0,100,8.33,0,0.0,31.0,13.0,1.3,1005.7,87.6,4.2,122.9,10.7,5,60,2024-09-02 06:09:31,2024-09-02 18:42:42,0.97,Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42752099999,42662099999,42754099999,VAID",2024,9,2,0,246,0,3,12.553055555555556,0,1,1,0,0,1,1,0,0,0,6.0,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.888057322629493,-0.4597327394521046,24.96666666666667,13.0,88.83333333333331,39.0,25.2,24.8,24.9,8.02857142857143,85.87142857142858,56.20000000000002,25.5,24.2,24.9,24.014285714285712,87.37857142857145,336.2,27.0,23.1,False,False,False,False,True,True,True,False,False,False,0.08234953519961669,0.5103734439834025,-0.3068753008074711,0.411522633744856,0.8174169075031561,0.68,0.17112191354017248,0.5172413793103448,1.5754457527263814,0.9581151832460735,0.5166403154153922,0.04186046511627907,1.6396255953794012,1.0,-0.8209305023711169,0.07661290322580645,1.802900680987818,0.8902439024390243,-0.4051555644606896,0.02178649237472767,-1.3052336663757202,0.33818181818181814,-1.3086537379298468,0.4444444444444445,-1.3383256979344254,0.2682926829268293,0.5003498165260621,0.6510046985904228
NewYork,2024-09-03,29.0,24.0,25.4,34.5,24.0,26.4,23.8,91.0,2.0,100,4.17,0,0.0,23.4,9.4,1.0,1006.4,87.4,4.5,91.9,8.0,6,60,2024-09-03 06:09:49,2024-09-03 18:41:44,0.0,Partly cloudy throughout the day with afternoon rain.,rain,"42752099999,42662099999,42754099999,remote,VAID",2024,9,3,1,247,0,3,12.531944444444445,0,1,1,0,0,1,0,0,0,0,5.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-0.8958392907349089,-0.44437817810461344,25.033333333333335,11.333333333333334,90.43333333333332,34.0,25.4,24.8,25.04285714285714,7.45714285714286,86.78571428571429,52.20000000000002,25.5,24.2,24.857142857142858,20.157142857142855,87.80714285714286,282.2,27.0,23.1,False,False,False,False,True,True,True,False,False,False,0.2178333140653775,0.5352697095435683,-0.3068753008074711,0.411522633744856,1.0143758597227794,0.72,0.3612662537139558,0.5517241379310344,1.554442634492398,0.9528795811518325,-0.06757822455707457,0.009302325581395349,1.6396255953794012,1.0,-1.3772729114320224,0.02822580645161292,1.7959981847534932,0.8882113821138212,-0.3476216846867996,0.02396514161220043,-1.7859733283651673,0.24,-0.7832044142952298,0.5555555555555556,-1.577500934781607,0.21951219512195122,0.47837946040225304,0.6434069779066278
NewYork,2024-09-04,27.3,23.0,25.0,30.6,23.0,25.4,22.8,87.8,1.5,100,4.17,0,0.0,36.7,18.4,269.2,1007.2,77.4,5.1,127.0,11.0,4,30,2024-09-04 06:10:07,2024-09-04 18:40:47,0.04,Partly cloudy throughout the day with early morning rain.,rain,"42752099999,42662099999,42754099999,remote,VAID",2024,9,4,2,248,0,3,12.511111111111111,0,1,1,0,0,1,0,0,0,0,4.300000000000001,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.9033558023246842,-0.4288919379124841,25.066666666666666,4.166666666666667,90.06666666666665,12.5,25.4,24.8,25.157142857142855,7.642857142857145,87.11428571428571,53.500000000000014,25.5,24.8,24.800000000000004,19.478571428571428,87.94285714285715,272.7,27.0,23.1,False,False,False,False,True,True,True,False,False,False,0.12751079482153696,0.5186721991701244,-0.6678058478486083,0.3415637860082307,0.8174169075031561,0.68,0.14999476463197398,0.5134099616858236,1.3864176886205326,0.9109947643979057,-0.10930812026939363,0.0069767441860465115,1.6396255953794012,1.0,0.013583111220241337,0.14919354838709675,1.4508733730372259,0.7865853658536586,-0.2325539251390195,0.02832244008714596,-1.2518181483768926,0.34909090909090906,-1.834103061564464,0.3333333333333333,-1.7449236005746338,0.18536585365853664,0.45669818791165107,0.6359092272318301
NewYork,2024-09-05,29.0,22.3,25.2,33.6,22.3,26.3,22.5,85.2,0.0,0,0.0,0,0.0,33.1,20.5,256.3,1005.6,62.4,6.4,182.5,15.7,7,60,2024-09-05 06:10:25,2024-09-05 18:39:49,0.07,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,remote,VAID",2024,9,5,3,249,0,3,12.49,0,0,1,0,0,0,0,0,0,0,6.699999999999999,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.9106046300942162,-0.41327860778290443,25.200000000000003,1.1666666666666667,87.99999999999999,3.5,25.4,25.0,25.114285714285717,7.642857142857145,87.67142857142858,53.500000000000014,25.4,24.8,24.671428571428574,19.478571428571428,88.15714285714286,272.7,25.5,23.1,False,True,False,False,False,True,True,False,False,False,0.17267205444345723,0.5269709543568464,-0.3068753008074711,0.411522633744856,0.6795456409494198,0.652,0.3401391048057581,0.5478927203065133,1.2498974200996424,0.8769633507853405,-0.23449780740635082,0.0,-0.6098953339214036,0.0,0.33811618317243647,0.1774193548387097,0.9331861554628249,0.6341463414634146,0.016759553881170956,0.03776325344952795,-0.4149750330619291,0.5199999999999999,-0.2577550906606128,0.6666666666666665,-1.1709030321413982,0.30243902439024384,0.4347278317878419,0.6283115065480351
NewYork,2024-09-06,28.2,23.0,24.5,32.0,23.0,25.0,22.6,89.8,10.0,100,8.33,0,0.0,34.2,20.5,253.5,1006.6,78.1,5.0,82.7,7.2,4,30,2024-09-06 06:10:43,2024-09-06 18:38:51,0.11,Partly cloudy throughout the day with rain.,rain,"42752099999,42662099999,42754099999,remote,VAID",2024,9,6,4,250,0,3,12.46888888888889,0,1,1,0,0,1,1,0,0,0,5.199999999999999,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.9175836260593934,-0.3975428142825566,24.900000000000002,3.8333333333333335,87.59999999999998,11.5,25.2,24.5,25.0,7.500000000000002,88.61428571428571,52.500000000000014,25.4,24.5,24.692857142857143,14.478571428571428,87.99285714285715,202.7,25.5,23.1,False,False,False,False,True,True,True,False,False,False,0.014607645766735882,0.4979253112033195,-0.4767249700033006,0.37860082304526765,0.8174169075031561,0.68,0.06548616899918155,0.49808429118773945,1.4914332797904484,0.9371727748691101,0.6001001068400303,0.046511627906976744,1.6396255953794012,1.0,0.33811618317243647,0.1774193548387097,1.4750321098573642,0.7936991869918698,-0.25173188506364946,0.027596223674655043,-1.928414709695374,0.21090909090909093,-1.834103061564464,0.3333333333333333,-1.5296658874121707,0.22926829268292678,0.4127574756640328,0.6207137858642411
NewYork,2024-09-07,30.0,23.0,25.4,34.7,23.0,26.8,22.9,86.4,0.0,0,0.0,0,0.0,29.5,16.2,279.4,1007.6,77.5,5.1,121.8,10.5,6,60,2024-09-07 06:11:00,2024-09-07 18:37:52,0.14,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,remote,VAID",2024,9,7,5,251,1,3,12.447777777777778,0,0,1,0,0,0,0,0,0,0,7.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.9242907221930934,-0.3816892202666586,25.03333333333333,3.3333333333333335,87.13333333333333,10.0,25.4,24.5,25.02857142857143,6.500000000000002,88.64285714285714,45.500000000000014,25.4,24.5,24.75,7.55,87.63571428571427,105.7,25.5,23.1,False,True,False,False,False,True,True,False,False,False,0.2178333140653775,0.5352697095435683,-0.09456321431268445,0.4526748971193416,0.8174169075031561,0.68,0.445774849346749,0.5670498084291188,1.3129067748015921,0.8926701570680631,-0.23449780740635082,0.0,-0.6098953339214036,0.0,-0.32640391653920087,0.11962365591397849,1.4543246211543883,0.7876016260162602,-0.2325539251390195,0.02832244008714596,-1.3408440117082718,0.3309090909090909,-0.7832044142952298,0.5555555555555556,-1.0991504610872436,0.3170731707317073,0.3907871195402237,0.6131160651804461
NewYork,2024-09-08,29.5,23.0,25.2,33.9,23.0,26.2,22.7,86.5,0.0,0,0.0,0,0.0,36.7,20.5,278.3,1007.8,71.6,5.3,106.3,9.3,5,30,2024-09-08 06:11:18,2024-09-08 18:36:53,0.17,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,remote,VAID",2024,9,8,6,252,1,3,12.426388888888889,0,0,1,0,0,0,0,0,0,0,6.5,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.9307239310379793,-0.3657225234972692,25.033333333333335,3.3333333333333335,87.56666666666665,10.0,25.4,24.5,25.071428571428573,3.214285714285716,88.29999999999998,22.500000000000014,25.4,24.5,24.86428571428571,5.835714285714286,87.16428571428571,81.7,25.5,23.1,False,True,False,False,False,True,True,False,False,False,0.17267205444345723,0.5269709543568464,-0.2007192575600778,0.4320987654320988,0.8174169075031561,0.68,0.3190119558975596,0.5440613026819922,1.3181575543600874,0.8939790575916231,-0.23449780740635082,0.0,-0.6098953339214036,0.0,0.33811618317243647,0.1774193548387097,1.2507009822417905,0.7276422764227641,-0.19419800528975942,0.029774872912127805,-1.5545060837035816,0.2872727272727273,-1.3086537379298468,0.4444444444444445,-1.2187380795108345,0.2926829268292683,0.3685276797832056,0.605418374487654
