BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CRASH_DATETIME,hour,day,month
QUEENS,11433.0,40.705853,-73.79068,"(40.705853, -73.79068)",0,0,Unspecified,4702437,Sedan,2024-02-13 11:00:00,11,1,2
QUEENS,11432.0,40.72014,-73.792946,"(40.72014, -73.792946)",0,0,Unspecified,4702424,Sedan,2024-02-13 20:30:00,20,1,2
QUEENS,11365.0,40.742233,-73.79272,"(40.742233, -73.79272)",0,0,Pavement Slippery,4702332,Sedan,2024-02-13 12:00:00,12,1,2
QUEENS,11420.0,40.663994,-73.81643,"(40.663994, -73.81643)",0,0,Unspecified,4703414,Sedan,2024-02-13 16:30:00,16,1,2
QUEENS,11106.0,40.758503,-73.929306,"(40.758503, -73.929306)",0,0,Unspecified,4703824,Sedan,2024-02-13 17:00:00,17,1,2
QUEENS,11101.0,40.7523,-73.93214,"(40.7523, -73.93214)",0,0,Turning Improperly,4704048,Sedan,2024-02-13 12:00:00,12,1,2
QUEENS,11432.0,40.71071,-73.793045,"(40.71071, -73.793045)",0,0,Unspecified,4704198,Sedan,2024-02-13 14:54:00,14,1,2
QUEENS,11101.0,40.743996,-73.94137,"(40.743996, -73.94137)",0,0,Unspecified,4704387,Station Wagon/Sport Utility Vehicle,2024-02-13 06:30:00,6,1,2
QUEENS,11372.0,40.75274,-73.87568,"(40.75274, -73.87568)",1,0,Driver Inattention/Distraction,4704765,Station Wagon/Sport Utility Vehicle,2024-02-13 10:00:00,10,1,2
QUEENS,11436.0,40.673676,-73.79376,"(40.673676, -73.79376)",1,0,Following Too Closely,4706125,E-Scooter,2024-02-13 19:22:00,19,1,2
QUEENS,11368.0,40.74618,-73.85293,"(40.74618, -73.85293)",1,0,Unspecified,4702689,Sedan,2024-02-14 15:24:00,15,2,2
QUEENS,11417.0,40.68484,-73.83596,"(40.68484, -73.83596)",1,0,Traffic Control Disregarded,4702736,Sedan,2024-02-14 16:32:00,16,2,2
QUEENS,11693.0,40.5867,-73.81704,"(40.5867, -73.81704)",0,0,Driver Inattention/Distraction,4703312,Sedan,2024-02-14 14:15:00,14,2,2
QUEENS,11432.0,40.71716,-73.80341,"(40.71716, -73.80341)",0,0,Unspecified,4702846,Ambulance,2024-02-14 12:48:00,12,2,2
QUEENS,11422.0,40.665558,-73.72985,"(40.665558, -73.72985)",1,0,Turning Improperly,4702586,Sedan,2024-02-14 18:37:00,18,2,2
QUEENS,11417.0,40.679947,-73.84973,"(40.679947, -73.84973)",1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4703403,Box Truck,2024-02-14 14:19:00,14,2,2
QUEENS,11102.0,40.771862,-73.917786,"(40.771862, -73.917786)",3,0,Unspecified,4702430,Sedan,2024-02-14 00:54:00,0,2,2
QUEENS,11373.0,40.74524,-73.86929,"(40.74524, -73.86929)",0,0,Glare,4702500,Sedan,2024-02-14 08:00:00,8,2,2
QUEENS,11691.0,40.602436,-73.75763,"(40.602436, -73.75763)",0,0,Unspecified,4702782,Taxi,2024-02-14 09:30:00,9,2,2
QUEENS,11421.0,40.693604,-73.86143,"(40.693604, -73.86143)",0,0,Passing or Lane Usage Improper,4702735,Bus,2024-02-14 06:50:00,6,2,2
QUEENS,11432.0,40.70675,-73.80224,"(40.70675, -73.80224)",0,0,Driver Inattention/Distraction,4702668,Station Wagon/Sport Utility Vehicle,2024-02-14 17:57:00,17,2,2
QUEENS,11422.0,40.668476,-73.73274,"(40.668476, -73.73274)",1,0,Driver Inattention/Distraction,4702855,Sedan,2024-02-14 17:00:00,17,2,2
QUEENS,11357.0,40.782375,-73.818886,"(40.782375, -73.818886)",1,0,Failure to Yield Right-of-Way,4702602,Sedan,2024-02-14 09:00:00,9,2,2
QUEENS,11102.0,40.775322,-73.935295,"(40.775322, -73.935295)",1,0,Traffic Control Disregarded,4703330,Station Wagon/Sport Utility Vehicle,2024-02-14 15:30:00,15,2,2
QUEENS,11103.0,40.769085,-73.91521,"(40.769085, -73.91521)",0,0,Pavement Slippery,4702812,Sedan,2024-02-14 14:00:00,14,2,2
QUEENS,11435.0,40.699017,-73.80696,"(40.699017, -73.80696)",1,0,Driver Inattention/Distraction,4702439,Tractor Truck Diesel,2024-02-14 00:00:00,0,2,2
QUEENS,11411.0,40.69268,-73.73231,"(40.69268, -73.73231)",1,0,Unspecified,4703124,Sedan,2024-02-14 23:30:00,23,2,2
QUEENS,11372.0,40.748245,-73.87821,"(40.748245, -73.87821)",0,0,Unspecified,4702565,Sedan,2024-02-14 05:20:00,5,2,2
